Location,Latitude,Longitude,Elevation (m),Land Use Type,Flood Severity (1-10),Population Density (people/sq.km),Vulnerable Population (%),Rainfall (mm),Water Level Rise (m),Flood Duration (days),Infrastructure Damage (Million $),Economic Loss (Million $),Mortality Rate (%),Roads Affected (%),Power Outage Duration (Hours),Evacuation Time (Hours),Medical Aid Delay (Hours),Disease Outbreak Risk (1-10),Psychological Distress Level (1-10),Response Time (Hours),Resource Wastage (%),Food Supply (Tons),Water Supply (Liters),Evacuation Boats,Medical Aid Kits,Relief Camps Set Up,Hospital Functionality (%),Emergency Shelters Capacity
Location_26,19.19516874,72.83056265,14,Residential,9,28854,44.33,2458,0.78,9,382.26,945.34,2.72,47.29,36,24,13,8,5,22,14.41,2106,879914,33,839,26,96.39,5427
Location_27,19.05408594,72.85400208,35,Slum,10,23447,30.83,1058,3.45,6,389.09,815.58,3.02,37.48,33,19,7,9,2,17,12.97,2858,797071,41,605,84,66.63,5515
Location_28,19.18860722,72.78070858,12,Residential,7,16610,42.43,721,0.54,2,233.25,747,0.25,30.4,31,47,5,3,5,4,8.44,1274,335737,6,65,92,75.16,8215
Location_29,19.06573359,72.76103028,26,Residential,9,10437,25.47,2056,4.01,2,309.83,742.26,0.93,67.59,21,2,7,6,4,45,1.29,936,522164,26,800,84,50.7,387
Location_30,19.247567,72.92834419,43,Residential,6,12350,40.31,2705,3.5,7,193.02,194.46,3.2,41.6,27,14,2,7,8,40,8.97,442,88038,39,282,75,50.35,3295
Location_31,19.0748214,72.88125713,36,Commercial,8,14521,36.19,847,1.89,8,353.95,828.19,2.16,45.1,62,32,17,1,1,19,4.17,1725,366043,41,473,74,62.01,9167
Location_32,19.06579532,72.92496211,6,Slum,9,21733,11.22,1682,1.82,8,419.5,290.6,2.59,46.46,26,42,13,7,5,37,20.13,3240,800168,37,687,61,55.04,2092
Location_33,19.18832731,72.78446844,7,Industrial,5,26028,49.54,1388,4.09,6,347.23,931.76,0.41,41.39,66,32,21,4,1,2,10.25,2496,787794,14,465,23,63.01,7550
Location_34,19.20219952,72.88152062,36,Residential,8,8560,10.59,1421,4.03,8,261.17,377.35,4.19,27.93,12,28,21,5,4,15,23.25,3955,26473,37,988,37,58.85,3025
Location_35,19.10070586,72.80833777,40,Commercial,8,29301,24.66,1758,2.09,1,234.74,860.51,3.94,18.42,22,39,16,8,8,2,7,3388,663059,8,679,41,51.43,1220
Location_36,18.95832317,72.80245422,13,Industrial,6,7247,10.3,904,1.85,9,324.74,280.91,1.01,16.9,17,40,20,4,1,11,27.11,3641,135801,39,258,52,95.47,5410
Location_37,19.06774813,72.75265098,11,Residential,6,23740,28.81,1780,3.02,1,343.11,524.24,3.21,63.02,7,42,2,4,2,45,16.17,3816,961523,13,707,83,50.41,546
Location_38,19.25786755,72.77997837,35,Industrial,7,6077,13.16,1176,0.54,3,283.78,124.75,4.11,25.65,68,47,5,8,1,23,4.32,2577,904030,13,87,82,86.8,6727
Location_39,19.17613475,72.82113167,39,Commercial,7,23282,55.68,1088,0.87,9,316.22,666.92,3.24,13.9,37,40,18,5,7,10,12.62,2231,620911,40,543,49,57.61,2996
Location_40,19.19824179,72.77688211,16,Industrial,5,12858,30.78,2120,1.07,5,57.33,839.36,1.62,65.83,38,13,7,6,2,3,7,3814,518252,43,117,27,95.61,821
Location_41,18.90247369,72.97674744,39,Residential,8,13391,32.97,2094,1.33,9,476.37,724.08,3.31,20.78,11,12,11,5,1,5,6.79,404,235097,28,282,6,94.64,2263
Location_42,19.0677866,72.82098551,28,Industrial,5,12946,27.49,1065,2.8,9,397.48,532.79,1.13,53.76,1,8,11,1,6,3,15.68,2681,308964,18,773,74,82.7,9643
Location_43,19.13571603,72.77997451,26,Industrial,5,17186,41.38,1203,4.97,6,193.22,64.21,1.66,33.71,25,15,22,7,6,38,20.48,1571,225933,19,24,66,83.61,4080
Location_44,19.20541242,72.79578893,0,Residential,6,3417,49.22,1357,3.44,1,285.78,934.77,1.28,18.85,42,26,17,6,2,13,27.44,2722,329733,38,379,24,50.27,4602
Location_45,18.90872399,72.88517174,33,Commercial,5,27230,42.41,1784,0.78,7,33.19,711.38,2.83,39.01,52,12,16,2,1,42,15.56,3228,731167,32,313,38,99.24,1825
Location_46,19.21392678,72.76473001,3,Commercial,5,29018,47.41,1084,2.87,6,30.2,750.95,0.63,11.04,24,43,13,7,3,19,29.01,2387,290558,22,681,28,93.89,8985
Location_47,19.09839236,72.94835985,23,Industrial,9,18494,55.3,731,2.73,9,132.89,798.79,4.67,68.87,53,46,22,6,5,40,28.31,678,399522,2,214,28,94.76,3513
Location_48,18.96497931,72.97114493,20,Slum,7,26665,53.18,2817,1.15,7,347.95,752.79,1.73,45.94,56,27,5,5,6,35,26.09,2729,34220,13,990,66,82.96,594
Location_49,19.01055698,72.80675191,32,Industrial,7,10954,43.7,1745,4.64,4,427.55,452.29,1.17,19.74,63,18,20,8,3,24,15.5,4472,594819,23,122,61,67.24,1047
Location_50,18.99713323,72.85352191,6,Slum,8,15591,20.73,551,2.48,7,284,738.95,2.53,26.59,8,45,16,5,9,24,5.09,1488,382146,25,689,46,94.68,122
Location_51,19.09172643,72.75509092,0,Industrial,7,9391,41.89,2663,4.98,2,270.75,632.53,1.46,41.36,59,36,22,2,5,17,7.32,1471,517409,28,874,69,64.58,1228
Location_52,18.90964056,72.89736335,40,Commercial,10,13364,35.3,1037,2.39,6,207.13,856.94,2.72,23.22,45,27,22,6,2,40,19.78,1176,707785,11,262,75,78.14,657
Location_53,18.95024374,72.84520299,2,Industrial,8,12371,45.86,1040,3.24,6,89.18,806.41,1.81,28.8,27,9,16,1,6,10,13.23,2733,19387,33,450,74,54.99,9908
Location_54,19.19882336,72.81211345,43,Industrial,9,23516,51.65,1542,0.97,2,67.99,60.55,0.75,47.41,52,39,16,5,8,2,5.26,1830,255752,24,195,43,96.1,3830
Location_55,18.94038952,72.79757254,14,Slum,7,4504,47.14,1314,2.54,4,382.73,391.31,1.4,68.28,18,1,14,6,6,44,14.89,1581,611103,2,868,59,57.04,5441
Location_56,18.97869058,72.90042531,30,Commercial,9,28040,52.33,1915,1.57,8,464.48,54.02,2.25,38.13,16,7,6,7,4,23,1.51,1964,561872,30,236,2,61.24,7098
Location_57,19.06228083,72.84572992,15,Slum,7,26673,13.19,2152,4.26,8,234.56,120.03,0.25,60.19,66,26,2,2,6,6,22.28,1282,579071,17,537,15,77.91,7282
Location_58,19.08650594,72.79132164,9,Industrial,7,7239,11.58,918,4.03,8,333.13,609.38,3.88,71.37,5,7,14,1,8,2,3.13,2006,705169,40,677,37,88.2,7134
Location_59,19.18017198,72.90849509,28,Residential,9,18676,22.93,2856,4.21,8,458.08,876.35,3.15,25.14,3,7,16,6,8,21,19.24,442,719687,34,363,71,80.97,1756
Location_60,19.05998632,72.87996663,5,Industrial,5,28415,55.03,1363,3.76,1,54.16,137.43,3.05,66.5,70,8,23,3,2,35,24,875,658782,38,632,20,61.61,4273
Location_61,19.19014856,72.94749457,28,Industrial,5,20118,51.18,685,4.25,2,387.54,462.07,2.78,63.02,7,16,20,5,8,29,4.85,3013,650102,22,10,98,50.05,5541
Location_62,19.1249716,72.77701946,16,Slum,5,7120,44.14,760,1.4,4,312.24,912.66,2.99,34.99,50,3,13,2,6,7,16.04,2445,260139,5,562,35,87.86,9098
Location_63,18.9329779,72.93070332,21,Residential,10,29195,45.04,2051,2.53,9,303.33,818.01,4.68,79.27,14,45,15,1,2,29,23.59,4195,927184,48,569,34,99.26,3412
Location_64,18.94940595,72.90490886,23,Residential,5,8393,46.33,1796,3.61,3,153.34,529.27,0.14,28.38,38,10,12,1,1,37,8.56,4945,510228,40,936,86,90.5,8745
Location_65,19.05607282,72.77645252,16,Slum,7,4196,57.13,2707,3.37,6,345.11,776.14,0.33,27.84,47,7,9,4,6,23,5.72,1842,676217,16,429,31,73.01,2424
Location_66,19.04081797,72.90980877,20,Commercial,6,5466,51.61,1261,3.72,7,399.45,532.24,1.04,64.06,33,21,18,2,7,33,10.77,3114,707621,13,629,87,95.19,9739
Location_67,19.17254682,72.85155588,49,Residential,9,3906,41.17,723,1.51,8,65.3,174.93,0.92,40.43,43,37,21,1,5,8,17.09,1413,870020,26,170,19,70.49,5695
Location_68,19.11068011,72.9673465,10,Residential,6,20105,43.29,1779,0.94,7,271.43,142.24,0.99,33.16,29,31,14,6,8,12,17.68,2398,944499,31,170,68,76.25,6084
Location_69,19.03749057,72.78257061,6,Slum,10,13883,20.69,679,4.63,3,59.62,204.6,3.39,22.51,57,23,20,4,9,46,4.8,3601,256509,39,880,24,73.86,2611
Location_70,18.95488891,72.89785168,41,Commercial,6,17437,42.87,2567,3.02,6,437.56,363.9,2.35,63.57,5,27,4,7,4,10,14.27,3678,23580,48,137,84,72.38,462
Location_71,18.9761981,72.83785541,38,Commercial,8,16497,31.23,2147,1.19,5,258.74,931.92,4.96,65.04,60,22,8,6,7,15,8.78,3386,552528,23,731,39,88.76,3554
Location_72,19.10869039,72.97006737,4,Industrial,5,3816,17.65,1131,4.07,4,405.9,803.68,1.21,49.66,70,39,8,5,8,24,25.42,1615,788639,48,160,92,76.34,2898
Location_73,19.05090675,72.82589423,43,Industrial,10,26828,50.32,2036,4.62,1,190.36,444.15,1.62,77.01,2,27,22,2,6,26,10.09,3717,355590,12,453,54,65.84,4720
Location_74,19.08567245,72.97130276,47,Slum,7,22611,35.51,2605,1.26,7,71.29,503.22,4.92,32.27,70,4,22,5,2,47,25.32,2263,478968,14,776,39,62.91,3355
Location_75,18.95485743,72.95734175,20,Commercial,5,28483,58.87,2463,4.18,8,30.33,280.3,4.18,25.37,43,24,16,9,7,42,13.43,4146,900965,18,480,17,51.89,1317
Location_76,19.14190438,72.81218814,17,Slum,5,28486,24.08,1114,4.7,2,147.94,710.27,2.4,57.42,4,23,10,9,9,39,22.07,1069,788559,27,472,19,79.16,1585
Location_77,19.21396472,72.93481461,34,Industrial,6,12713,34.03,1061,4.72,7,129.67,806.71,2.82,63.09,56,19,21,2,5,3,15.79,1334,973615,28,739,48,61.5,5449
Location_78,18.98801701,72.97898897,19,Slum,8,24159,32.4,2921,4.61,6,284.57,254.13,4.23,25.74,59,42,17,7,2,2,19.04,112,493663,18,39,35,57.41,7295
Location_79,19.07677541,72.80811249,14,Slum,5,5849,16.04,1121,2.96,5,20.65,60.99,2.46,15.36,9,3,1,4,4,6,12.47,2580,438082,16,482,32,82.69,7850
Location_80,19.26070039,72.85045875,4,Residential,9,23612,31.31,2635,2.1,4,265.08,631.41,1.11,66.74,3,27,18,3,3,21,23.28,3442,615262,16,566,47,84.06,6179
