Location,Latitude,Longitude,Elevation (m),Land Use Type,Flood Severity (1-10),Population Density (people/sq.km),Vulnerable Population (%),Rainfall (mm),Water Level Rise (m),Flood Duration (days),Infrastructure Damage (Million $),Economic Loss (Million $),Mortality Rate (%),Roads Affected (%),Power Outage Duration (Hours),Evacuation Time (Hours),Medical Aid Delay (Hours),Disease Outbreak Risk (1-10),Psychological Distress Level (1-10),Response Time (Hours),Resource Wastage (%),Food Supply (Tons),Water Supply (Liters),Evacuation Boats,Medical Aid Kits,Relief Camps Set Up,Hospital Functionality (%),Emergency Shelters Capacity
TN_Location_11,11.7827517,78.94212097,22,Urban,6,5274,30.45,2143,2.99,10,116.45,765.29,2.47,28.3,32,8,20,5,4,31,33.17,1456,1995303,18,323,12,49.62,14198
TN_Location_12,10.59180178,76.42719404,51,Urban,8,10741,36.2,979,0.74,8,41.92,532.71,4.86,51.84,57,33,10,6,3,25,23.22,6834,926801,38,920,126,72.85,10772
TN_Location_13,12.81993662,77.43483314,36,Coastal,7,7873,16.74,1905,2.24,9,392.31,925.75,1.99,67.57,9,68,31,6,9,36,9.75,6106,1725559,12,258,46,60.91,1607
TN_Location_14,10.44087163,80.46766508,34,Coastal,8,10462,11.3,865,2.15,9,380.38,828.54,1.98,33.31,77,20,18,6,8,22,20.06,5065,1304534,55,823,81,66.06,11019
TN_Location_15,9.566997427,79.05292,40,Slum,6,5859,17.64,716,1.59,6,408.68,847.01,1.14,58.63,14,30,16,3,5,17,30.88,510,1364066,46,1267,74,60.11,12330
TN_Location_16,12.92808538,79.28533825,13,Agricultural,8,14257,41.34,1873,3.55,14,12.2,679.55,0.75,38.17,62,67,5,6,9,35,25.14,426,743365,11,1131,115,60.16,1275
TN_Location_17,12.73860356,76.95812779,40,Agricultural,10,5128,13.68,1038,1.1,8,255.6,318.49,3.75,72.71,54,47,7,6,6,55,30.27,472,266073,17,1472,20,72.55,10548
TN_Location_18,8.902219709,76.35451932,33,Slum,9,18578,19.48,1768,1.73,14,355.37,54.92,3.9,42.99,29,60,17,7,9,19,12.51,4612,1084221,58,1263,73,51.52,13302
TN_Location_19,8.142785601,77.2460576,20,Urban,6,1721,26.89,2225,3.21,11,86.15,936.94,4.85,43.1,14,49,27,8,3,22,31.65,2122,686868,25,294,57,72.24,14513
TN_Location_20,8.49492056,77.12004273,32,Coastal,8,3573,13.89,1541,0.61,5,328.4,594.4,3.91,57.9,15,68,24,3,7,59,27.67,3357,377468,51,973,10,56.74,10918
TN_Location_21,9.576010692,77.05544845,25,Agricultural,6,5262,19.58,888,2.86,10,51.21,312.18,1.37,35.1,74,54,14,6,4,15,26.87,2538,727703,36,1109,127,57.34,12166
TN_Location_22,13.34742891,76.86739445,51,Slum,10,7533,55.56,1350,3.36,9,98.85,166.15,0.39,40.67,82,38,18,8,3,46,15.4,5788,283470,15,1466,37,84.32,10920
TN_Location_23,11.07183884,78.58640061,6,Urban,9,12574,10.96,1784,3.76,6,243.14,832.93,4.93,47.91,64,3,28,6,6,26,31.63,6190,1453466,18,274,19,41.78,5239
TN_Location_24,10.05293953,77.47646564,50,Urban,6,10110,42.67,993,3.57,12,330.25,839.79,1.83,44.45,31,41,23,4,5,56,24.14,1801,1163359,15,144,18,62.86,4033
TN_Location_25,12.88793852,79.69155257,39,Coastal,10,2665,29.22,1756,1.62,5,81.48,818.22,1.7,53.87,37,3,20,4,9,49,30.56,6088,479179,6,1189,67,64.45,8851
TN_Location_26,10.49224982,76.82776338,58,Coastal,10,17908,43.63,2022,2.55,9,100.76,652.18,4.55,57.98,62,16,14,8,3,58,15.83,3918,731332,38,634,9,69.11,2523
TN_Location_27,9.733812456,78.09082182,32,Slum,10,1511,39.43,1114,0.77,12,110.18,378.7,3.01,56.17,31,25,15,3,5,39,9.37,5746,319103,48,404,125,80.14,784
TN_Location_28,13.17670741,76.06146026,59,Slum,8,8510,21.17,2347,1.4,11,126.96,317.99,1.23,60.98,33,45,32,7,7,9,14.97,2622,548102,51,466,94,62.18,1728
TN_Location_29,12.67234716,78.16757045,40,Urban,7,14246,52.36,1502,0.83,14,121.01,28.38,4.47,41.93,79,24,3,3,6,10,18.66,2125,1440063,21,406,111,52.79,2380
TN_Location_30,12.64017606,76.25127199,35,Urban,6,14194,34.6,2272,1.6,12,203.62,836.94,4.97,31.95,78,62,15,3,6,25,21,766,205205,18,402,20,93.09,14076
TN_Location_31,10.81756609,80.3997558,37,Agricultural,7,1190,51.13,1130,3.56,5,330.36,105.68,0.62,66.84,63,29,10,4,9,16,20.32,3115,260826,29,1320,103,98.86,995
TN_Location_32,12.34191119,79.55766458,27,Urban,10,10062,30.3,2218,1.72,12,224.64,638.14,4.34,71.79,4,58,11,4,4,6,21.38,451,1139726,52,1425,57,41.2,6600
TN_Location_33,8.986443476,78.20550164,45,Slum,7,5287,59.23,1823,2.47,11,390.23,513.99,2.07,39.14,35,4,8,7,8,23,30.25,5852,323878,31,143,81,72.79,4960
TN_Location_34,11.15272627,76.38964311,21,Coastal,10,11420,48.52,1746,2.02,10,362.44,536.16,2.72,47.39,74,41,29,9,6,48,10.1,2554,1630264,12,1310,97,60.5,14419
TN_Location_35,13.41115258,78.66600448,50,Slum,10,14370,58.3,2143,2.11,14,72,928.18,4.59,52.42,64,53,26,9,3,12,14.48,3701,191074,21,1154,102,56.62,501
TN_Location_36,9.600271368,79.41443688,53,Agricultural,9,6866,35.72,2147,3.89,5,33.93,50.98,4.87,54.33,61,21,29,9,3,24,31.66,4970,1973337,9,1424,102,60.14,12349
TN_Location_37,12.36893781,76.85822764,5,Agricultural,9,5294,33.68,1186,1.54,10,440.19,777.92,1.46,61.27,42,64,3,6,3,32,21.81,2511,426582,16,1201,147,78.33,9690
TN_Location_38,10.69763124,78.55693753,46,Coastal,7,4372,47.77,2453,2.7,14,49.12,71.01,1.22,27.29,51,69,18,7,7,32,22.5,2315,662041,42,747,63,51.44,9759
TN_Location_39,8.218931258,79.66394904,27,Slum,6,13470,54.01,788,1.97,6,82.69,57.39,0.59,64.68,34,65,5,6,6,18,19.34,1802,1313116,22,915,141,94.77,11462
TN_Location_40,12.19660669,79.457115,52,Agricultural,7,16739,58.21,1932,0.71,8,20.85,441.22,2.9,28.41,40,7,14,8,6,13,21.47,3470,554497,30,1161,30,67.97,14057
TN_Location_41,8.927130294,79.61346408,31,Slum,6,17060,26.23,970,2.21,14,317.88,81.81,0.27,50.76,94,63,19,8,3,24,10.94,713,411007,35,347,7,59.53,8565
TN_Location_42,11.47310462,79.95695541,29,Agricultural,7,11049,49.94,2472,3.35,12,295.36,793.36,2.18,70.52,81,9,4,5,9,31,21.41,641,726235,41,713,104,85.93,8587
TN_Location_43,8.471153067,80.21956946,36,Coastal,8,3111,20.53,1599,0.85,4,493.58,538.97,0.55,49.82,89,52,34,9,4,27,34.92,200,196118,10,1111,51,40.98,14484
TN_Location_44,13.20777069,77.8248452,23,Agricultural,8,11871,37.28,2129,0.74,10,444.6,48.46,2.15,33.2,90,48,25,4,9,16,21.98,6701,194736,45,1477,9,65.91,12760
TN_Location_45,9.604481379,78.55946096,28,Slum,6,7573,18.99,2444,1.04,11,211.31,59.69,0.39,79.18,15,16,9,5,4,16,6.33,5434,457669,19,378,66,61.32,14510
TN_Location_46,9.245555804,79.55796787,7,Slum,9,7705,27.37,977,3.18,9,192.08,620.42,4.21,73.91,87,67,3,5,6,4,28.89,1102,569034,46,1022,88,60.29,3777
TN_Location_47,8.710250222,79.13712916,16,Agricultural,6,4442,56.57,905,3.03,10,155.46,809.99,1.21,67.42,56,67,34,4,9,56,16.89,5919,1309157,53,816,137,60.22,2502
TN_Location_48,13.20301206,80.47984103,39,Urban,7,7138,17.3,2313,2.48,9,84.68,449.04,1.78,47.63,78,59,13,5,6,15,9.61,1420,688053,30,462,142,41.88,7790
TN_Location_49,11.91547058,76.06154943,19,Coastal,10,17146,41.62,1612,2.14,13,77.66,563.49,4.38,35.11,15,64,23,9,5,5,30.88,2521,446433,55,183,84,49.13,14924
TN_Location_50,12.07913489,77.59809947,21,Coastal,8,19793,39.65,1027,3.61,12,74.82,803.83,3.78,76.78,41,22,14,3,6,32,10.94,1055,365328,16,992,67,48.51,8749
TN_Location_51,10.74672509,77.26462567,54,Agricultural,10,10422,16.04,2333,3.18,6,65.92,618.3,1.25,54.28,25,28,11,6,9,20,32.62,1217,128898,45,380,29,99.32,12150
TN_Location_52,10.61100282,77.18042133,36,Agricultural,8,16455,26.3,1557,3.34,3,127.85,240.27,0.55,71.88,94,46,18,9,3,56,18.25,5479,868267,51,604,48,41.33,6617
TN_Location_53,8.605116836,77.00138402,11,Urban,7,10905,38.15,1576,3.35,5,160.27,620.79,3.64,43.82,16,69,6,7,8,38,27.28,2420,835565,18,1162,18,50.02,4725
TN_Location_54,11.07912603,79.19105728,23,Coastal,8,7040,19.36,1561,2.75,9,481.17,635.71,2.08,43.44,19,64,10,4,7,23,21.41,4880,1714209,5,872,90,98.45,5650
TN_Location_55,9.358040723,76.38141763,11,Urban,6,15597,50.03,1035,2.1,13,293.45,739.42,3.88,79.2,26,47,14,3,6,55,12.7,3704,1653397,21,1030,23,77.7,3106
TN_Location_56,13.37429933,79.33723975,9,Coastal,10,8606,58.61,1305,3.53,13,493.92,628.46,2.34,53.7,60,13,24,8,6,21,25.13,6824,962908,37,1238,106,67.04,7463
TN_Location_57,12.38119517,79.12041629,44,Agricultural,10,1557,20.74,1291,3.74,9,192.51,969.86,1.86,32.74,65,36,31,7,3,18,33.74,4750,204411,59,1043,24,44.73,12748
TN_Location_58,10.27145633,77.1286186,25,Coastal,7,7020,19.35,1761,0.58,13,234.24,213.34,2.37,37.08,36,48,5,7,5,30,28.09,395,1379445,33,260,83,80.18,485
TN_Location_59,8.832376923,77.13775202,52,Coastal,10,10904,32.75,1713,0.68,5,169.04,952.07,3.79,51.51,53,34,22,7,8,6,23.12,4894,769692,57,685,143,48.27,8370
TN_Location_60,12.3193243,78.82987263,52,Coastal,7,15116,47.39,1951,3.86,3,99.61,547.57,4.53,27.34,88,7,10,5,6,53,34.72,1532,1527172,58,584,102,80.27,8634
TN_Location_61,8.671295719,79.42976997,55,Urban,9,10126,24.08,2206,1.47,12,80.15,678.52,0.44,50.44,12,65,8,5,4,57,12.96,6055,1529865,49,1185,125,98.75,11845
TN_Location_62,9.041335644,79.94418526,51,Urban,6,9756,10.99,1857,3.56,11,473.09,117.47,2.72,48.04,74,31,17,5,4,17,6.87,4851,1280521,35,851,21,71.92,7350
TN_Location_63,9.163362848,79.83462804,11,Coastal,8,19909,37.06,1407,1.86,14,493.54,392.96,0.36,67.86,23,50,24,9,4,3,5.96,1717,257972,12,995,54,52.85,9131
TN_Location_64,11.06289851,80.34197347,41,Slum,8,4297,57.83,1677,0.92,8,32.01,773.99,2.45,44.52,39,18,24,5,7,50,26.32,4734,167240,34,50,14,77.52,12241
TN_Location_65,12.3288116,78.61623203,27,Urban,8,10664,29.56,2113,0.78,14,83.67,712.77,4.45,79.04,9,27,32,3,7,49,29.91,2897,1260989,17,242,62,70.78,2374
TN_Location_66,9.728731833,80.08895003,15,Agricultural,9,9574,31.01,2336,1.05,9,217.53,59.34,1.94,34.94,92,31,6,5,8,18,24.05,4654,303380,20,285,99,71.99,7954
TN_Location_67,8.465683979,79.63830973,14,Agricultural,6,14839,58.45,1124,1.37,3,101.3,555.66,4.68,57.5,15,54,7,4,6,56,32.15,3307,894348,6,1325,111,68.69,12460
TN_Location_68,10.55496155,80.02600431,25,Coastal,10,2621,44.73,1286,2.21,3,188.3,106.51,3.23,29.93,82,48,2,7,6,22,25.94,1257,931913,49,807,143,80.42,501
TN_Location_69,12.11460633,76.05231971,59,Agricultural,10,18369,45.96,1505,2.96,6,73.26,995.94,4.68,65.36,32,27,29,3,6,35,16.13,5407,168357,22,400,37,74.32,11584
TN_Location_70,9.219151137,80.34656346,45,Urban,6,13517,38.14,2233,3.95,9,233.69,899.35,3.83,79.71,33,25,19,8,7,19,10.44,2905,1365258,39,575,50,99.22,6010
TN_Location_71,9.209585014,78.13088573,37,Slum,6,18821,58.73,1419,2.05,13,143.13,40.66,0.7,70.05,7,36,25,5,8,7,32.74,2263,1493763,49,81,133,89.55,3465
TN_Location_72,13.20974865,79.59182345,24,Slum,8,11172,44.44,2318,2.31,13,182.43,861.48,1.31,55.56,34,69,14,8,6,7,8.11,2992,541817,23,732,66,55.88,11571
TN_Location_73,13.2478455,76.57241854,37,Slum,10,9180,54.75,2150,2.33,10,56.21,921.04,2.09,51.66,18,36,34,7,3,41,21.29,620,664109,17,866,91,83.55,13059
TN_Location_74,13.44756153,77.78173493,44,Agricultural,6,2546,44.97,1648,2.39,12,219.78,366.48,1.02,70.93,75,34,11,3,5,15,14.42,4848,1565245,55,540,77,52.86,14894
TN_Location_75,12.44212781,77.22157298,39,Coastal,10,6597,46.76,1354,2.31,11,491.8,725.11,2.58,76.48,24,31,8,7,9,46,13.14,3014,1651519,8,1114,5,86.94,2402
TN_Location_76,9.03501293,77.31246447,38,Agricultural,6,17083,24.52,1173,0.53,3,171.13,453.26,2.46,79.41,66,11,33,8,4,38,24.38,3040,772382,23,621,25,48.85,9402
TN_Location_77,9.165898364,76.55465029,40,Coastal,7,8889,25.17,1267,0.51,6,439.45,662.13,4.79,46.81,46,68,23,9,4,32,11.94,5445,1673648,54,159,26,68.41,1871
TN_Location_78,9.871238828,79.62593725,31,Slum,8,19804,49.15,2084,0.84,6,423.17,353.51,2.28,79.5,42,59,17,3,3,59,32.49,1231,424691,29,1359,8,87.44,5425
TN_Location_79,9.749728922,76.04159042,23,Urban,6,12937,24.84,910,0.86,5,476.51,336.11,3.97,33.58,39,41,25,6,6,6,17.18,1691,944609,42,1383,69,56.81,11940
TN_Location_80,13.26090262,77.40627456,47,Agricultural,9,8397,38.14,1902,2.97,9,397.15,435.95,4.72,38.95,80,9,15,9,8,25,25.32,5175,1018793,55,609,67,90.23,6997
