Location,Latitude,Longitude,Elevation (m),Land Use Type,Flood Severity (1-10),Population Density (people/sq.km),Vulnerable Population (%),Rainfall (mm),Water Level Rise (m),Flood Duration (days),Infrastructure Damage (Million $),Economic Loss (Million $),Mortality Rate (%),Roads Affected (%),Power Outage Duration (Hours),Evacuation Time (Hours),Medical Aid Delay (Hours),Disease Outbreak Risk (1-10),Psychological Distress Level (1-10),Response Time (Hours),Resource Wastage (%),Food Supply (Tons),Water Supply (Liters),Evacuation Boats,Medical Aid Kits,Relief Camps Set Up,Hospital Functionality (%),Emergency Shelters Capacity
Location_44,24.39246587,89.01231425,23,Commercial,7,8882,54.27,2776,3.56,2,246.7,472.32,1.5,44.1,63,46,2,7,7,19,17.5,2643,543136,10,690,71,56.67,6375
Location_45,23.30411028,87.90560518,1,Commercial,6,17816,62.72,3290,4.56,2,43.56,231.9,0.67,65.98,52,69,30,4,7,23,20.51,4226,1488907,32,847,88,80.03,6143
Location_46,23.80855424,89.59892472,7,Agricultural,8,21121,17.37,1525,3.11,5,56.15,729.08,5.27,70.91,64,37,4,7,4,59,6.71,4357,701398,36,782,22,93.75,11615
Location_47,23.05508568,87.77356125,11,Commercial,10,7740,46.57,1085,4.26,8,105.56,250.25,5.18,81.16,69,49,32,6,2,54,20.37,1941,580910,46,1357,31,74.68,8226
Location_48,22.95362261,87.84756562,20,Commercial,7,3738,61.94,2691,2.3,10,125.5,365.28,2.54,57.6,79,16,12,6,7,2,12.54,4900,1366606,41,399,35,71.64,13771
Location_49,22.97630041,87.99663188,0,Agricultural,6,10907,36.9,1369,1.35,6,107.87,439.57,4.27,32.82,17,45,23,3,9,62,14.95,821,1209549,29,813,110,49.62,7646
Location_50,22.85535177,88.08191302,22,Rural,5,1065,31.63,2764,3.07,3,230.28,89.18,3.43,79.69,85,68,19,9,6,32,11.22,1501,862809,36,633,133,82.93,1508
Location_51,23.29195518,88.62221268,12,Commercial,8,22262,58.76,2313,3.31,13,33.6,746.41,5.15,69.27,25,41,7,6,5,32,32.74,545,102910,39,582,10,82.14,13097
Location_52,22.30651643,89.13358542,21,Commercial,9,6058,33.47,1297,2.28,8,108.61,305.88,2.03,55.21,7,15,4,4,6,67,24.55,2891,1249510,26,439,15,98.02,9308
Location_53,24.49740876,89.68035501,20,Agricultural,9,16875,15.17,2717,4.64,12,251.99,73.82,3.24,63.69,58,64,6,3,2,20,10.66,4622,401136,28,71,22,58.01,14113
Location_54,22.58915257,87.5272846,16,Rural,5,17627,67.78,1504,1.37,3,24.71,315.96,3.02,79.7,32,52,10,8,2,54,23.29,3867,533271,43,838,25,85.39,8539
Location_55,21.95453151,89.75272926,13,Rural,8,11603,47.57,2156,2.11,10,282.99,484.16,2.25,64.87,7,59,29,6,5,23,30,2651,525042,58,224,23,66.04,13143
Location_56,21.78020264,89.66780003,13,Rural,8,15674,60.07,1361,4.74,10,295.96,415.79,5.37,40.79,80,16,20,9,3,24,15.25,5746,183878,34,1020,8,73.51,10506
Location_57,21.49590637,87.43877818,15,Agricultural,8,9222,60.39,2798,3.19,4,31.13,558.69,1.16,64.91,30,66,29,8,3,16,29.39,2067,693019,54,750,81,88.99,4216
Location_58,22.89616779,88.22602532,16,Residential,8,22293,18.65,831,4.53,14,90.93,53.83,1.07,17.82,68,56,28,2,9,27,7.1,3988,1051810,36,276,120,53.32,4140
Location_59,22.09162958,89.38977851,5,Residential,9,9253,24.4,842,3.84,9,114.86,234.79,3.55,42.05,76,11,14,2,3,4,29.15,4916,174525,35,204,29,60.57,6913
Location_60,21.52403583,88.87175172,25,Commercial,6,6129,32.11,2716,5.75,12,234.04,657.19,4.01,43.44,4,43,22,2,4,21,19.83,2831,968002,27,164,81,86.4,4271
Location_61,23.22846685,89.30227143,27,Commercial,8,6818,32.64,2174,3.99,5,180.8,73.12,1.33,26.68,29,12,28,8,3,41,9.36,5997,1532185,44,1057,53,74.23,8307
Location_62,23.77552664,89.14791568,6,Commercial,6,801,51.23,2645,1.07,4,195.09,685.83,2.47,16.62,75,17,7,2,8,40,15.44,2729,822744,37,265,69,45.55,6112
Location_63,21.74326859,88.57669919,25,Residential,8,20651,49.27,1358,2.76,2,228.47,82.6,5.69,24.34,49,20,12,7,4,19,34.6,2064,807868,29,206,87,65.81,13790
Location_64,23.02634904,87.40593038,25,Agricultural,7,21164,42.2,3117,1.72,6,39.8,669.22,1.63,60.82,81,32,18,2,4,42,27.86,1157,1882577,40,1380,5,75.2,11187
Location_65,23.99321008,88.80156928,0,Commercial,10,8006,26.62,2236,5.62,14,250.8,295.02,4.08,71.16,11,54,8,3,9,71,20.98,6240,472029,28,1302,85,94.57,642
Location_66,24.82145933,87.4248163,24,Agricultural,7,9201,36.01,1742,1.52,12,213.16,493.65,4.49,84.17,34,9,31,5,3,28,5.8,4931,661075,35,885,25,51.31,3144
Location_67,23.73179098,88.85157766,14,Commercial,10,7462,44.9,2398,2.94,5,175.32,130.78,2.8,39.25,68,25,22,7,3,16,15.79,6934,1683349,43,59,90,88.36,4136
Location_68,22.28735126,89.35705592,19,Agricultural,7,5929,40.74,2170,2.13,2,267.47,62.27,5.64,56.96,70,9,2,9,9,38,10.68,857,1769922,50,620,19,47.84,598
Location_69,23.90061345,88.80342879,20,Agricultural,8,16366,22,2728,5.23,11,211.59,180.59,4.47,80.6,13,49,26,5,5,59,4.34,1895,384699,17,981,54,54.53,9543
Location_70,23.49491864,89.86234604,17,Residential,6,7748,50.72,2436,2.54,9,64.5,111,2.86,26.69,58,31,33,3,7,6,19.89,1743,728537,14,1461,52,54.6,12184
Location_71,22.17435357,88.47157691,29,Agricultural,10,20329,19.02,2884,5.96,9,131.77,256.8,3.5,65.24,45,59,9,9,9,8,31.34,4949,1066045,27,1005,53,92.65,3195
Location_72,24.36079902,89.22448658,27,Rural,9,2703,35.8,891,1.19,14,150.74,416.36,4.22,67.85,14,56,6,3,5,42,24.29,123,1471097,22,1394,112,51.94,6529
Location_73,22.91172314,89.01473816,25,Residential,5,19718,54.05,2643,1.64,9,21.29,475.12,3.63,21.23,25,63,31,4,4,11,10.24,1339,52646,36,28,49,87.22,2416
Location_74,24.73996358,89.84797945,12,Commercial,10,2979,16.1,984,2.12,4,286.62,634,5.3,75.29,45,49,9,9,5,63,20.93,4250,1144702,37,369,36,67.71,1907
Location_75,23.92232145,89.13297284,23,Residential,10,21740,46.35,1527,5.06,7,42.93,528.43,2.27,71.92,58,5,20,7,4,27,33.13,3197,534116,40,103,136,99.95,11723
Location_76,23.65440599,87.72155898,29,Rural,9,10886,33.4,1851,5.39,13,210.75,490.92,1.94,17.34,17,38,31,5,2,69,25.86,1404,1710786,32,552,101,90.35,10379
Location_77,23.9409667,89.75568051,1,Rural,8,934,15.49,2371,1.36,13,154.34,335.31,1.44,21.38,22,9,16,2,4,25,24.75,6570,1323793,20,1008,84,84.38,5966
Location_78,23.0850918,89.01618747,18,Agricultural,7,10730,25.47,3219,1.16,8,12.56,384.31,0.42,18.44,77,2,28,3,4,42,33.95,5165,846862,20,377,58,92.24,5877
Location_79,23.17787455,87.45249925,14,Rural,7,2206,66.75,1631,4.72,10,277.8,337.47,0.45,38.43,52,71,14,2,5,66,28.36,6429,404382,22,397,131,78.04,12994
Location_80,24.36112926,88.98995055,11,Rural,6,6225,43.66,1144,1.67,6,256.29,675.31,5.25,50.65,22,48,15,9,7,18,6.51,2642,612947,12,191,138,90.62,2768
